review_body,stars,product_category
Buenas opcion para divertirse en la playa o en la piscina. Llego en la fecha indicada y en buen estado.,4,sports
"Muy descontenta con el producto. De mala calidad, tras tres lavados las sabanas tienen unas rayas negras de los hilos.",2,home
"Funciona perfectamente, era un regalo y ha gustado muchísimo a los niños! Como puntos negativos, es que no se puede regular el volumen de la música y puede ser algo molesto. Además dejó de funcionar a las pocas semanas sin saber por qué.",2,toy
"Son muy bonitos, aunque no son los que había pedido. Ya que yo quería negro y blanco, y me han traído rojo y blanco.",3,baby_product
Fue para regalo y le encantó,5,luggage
"Súper fácil de armar y muy liviana, un 10 en eso, pero para mi no fue suficientemente confortable, como siempre, todo cuestión de gustos.",3,sports
me parece muy bonito es bueno suena bien fácil de utilizar solo una pega el nivel mínimo sueno mucho solo eso,3,electronics
"No merece la pena y encima el envío fatal, dos de los tres silbatos, que son de cerámica, llegaron rotos ya que no se preocuparon en proteger lo más mínimo el paquete, y lógicamente no soportaron el envío, e insisto, llegaron rotos. El vendedor oídos sordos.....en fin. Bastante defraudado con esta compra.",1,toy
"Botas muy rígidas nada cómodas, pero que calientan mucho y protegen también muy bien. Para mi gusto la comodidad es primordial y por eso no me han gustado",1,shoes
"No están mal, pero para ese precio, encontré en un bazar chino unas mucho más reforzadas y con mucho más correa para regular la longitud.",3,pet_products
Muy decepcionado con el servicio de entrega ya que se negaron a dejarlo en el domicilio (por no entrar en el ascensor) y lo dejaron en el portal,3,furniture
"Lo compré porque la idea de una ventosa capaz de adherirse a superficies rugosas me pareció un invento genial. El soporte cumple con su prometido, aunque hay que pegarlo bien antes de levantar la palanca que hace que la ventosa se pegue bien, y no forzar mucho los primeros segundos. Lo que me ha decepcionado un poco es que a los pocos días vi que en las típicas tiendas de regalos se han puesto de moda este tipo de soportes, y se pueden encontrar más modelos por unos 6€, mientras este costaba más de 8€ cuando lo compré.",4,pc
"Aún no he abierto la caja porque es para un regalo pero supongo que siendo un artículo de Playmobil vendrá todo correcto. Aún así quiero transmitir mi disconformidad y malestar por el mal empaquetado, como ya otra gente ha referido la pegatina viene puesta directamente sobre la caja haciendo imposible quitarla sin dañar la caja, y además el mensajero me entrego la caja rota como pueden ver en la foto. No hago devolución ya que me corre prisa pero si no lo devolvería sin duda, me parece poco serio que con el precio que tiene no tengan la molestia de introducirlo en una caja.",2,toy
No funciona el mando,1,drugstore
Es más potente de lo que me esperaba,4,home_improvement
El producto no se corresponde con la foto. No es original de xiaomi mi. Ya veremos como funciina a lo largo de un tiempo. Pero repito el producto recibido no corresponde con la foto.,2,wireless
"Queda perfecta lo malo que la mia me vino descolorida como gastada,al ser nuevo el móvil me tuve que quedar con ella.",3,wireless
"Un año y ha dejado de funcionar, me gustaría saber si tienen garantía.",1,wireless
"El pedido llegó en una caja abierta. La caja en la que está empaquetada la abrazadera está dañada por un lado. El anillo en el tornillo de sujeción está arrugado, lo que hace que sea imposible fijar la abrazadera de forma segura sobre la mesa.",2,home_improvement
"Es una buena funda, aunque se le quedan las huellas con facilidad.",5,wireless
"Lo que más me gusta de estos turbantes, son sus estampados tan atrevidos con un toque vintage que puedo combinar con cualquier prenda . La goma es elástica, la cual se amolda a tu cabeza. Al principio aprieta un poco , pero luego la goma cede . Son tal cual las imágenes. En la parte superior, puedo modificar el grosor de la diadema. pues va unida en dos terminaciones, en forma de 8. Recoge muy bien el pelo.",5,beauty
Una opinión de persona con reconocimiento,5,book
"Resuelve el problema de llevar las gafas y las llaves del coche cuando vas a nadar al mar, es muy llamativa y se ve a mucha distancia, además da la seguridad de que si te agotas te puedes coger a la boya. Si tuviese una rejilla para por ejemplo llevar una botella de agua accesible tendría las 5 estrellas.",4,sports
"Para su precio no se puede pedir mucho más. Bueno si, que al menos la batería durase un poco más.",3,wireless
"Suelo usar talla L y es la que pedí. Me ha venido perfecto, ni me aprieta ni me queda grande. Es súper cómodo y se ajusta muy bien, te hace un pecho muy bonito y a parte es muy funcional ya que son para deporte (aunque también se pueden usar para el día a día) y no se te mueven los pechos o te molestan, así que lo recomiendo muchísimo ya que lo tiene todo, comodidad, bonito, barato y de buena calidad!!",5,apparel
Buena calidad precio,5,lawn_and_garden
"La boya interior no cerraba, gracias a Amazon que se hizo cargo de la reclamación porque con el proveedor no llegue hablar y el producto no era malo,",1,home
"Acabo de ""recibir"" el producto, ""recibir"" por decir algo. Un repartidor de Amazon se intento poner en contacto conmigo, y al estar en el trabajo y no poder localizarme, sin intentar dejarlo a algún vecino como en otras ocasiones, LO HAN DEJADO EN LA PUERTA DE LA CASA, EN EL SUELO!!!! cualquiera que hubiese pasado se lo podía haber llevado!!! Una entrega de -5 estrellas que no puedo evaluar puesto que AMAZON no me deja poner estrellas negativas. Sobre el producto poco puedo decir, aunque entiendo que no tiene el vendedor ninguna culpa y que toda la culpa es del repartidor de AMAZON que ha creído conveniente dejarlo en la puerta durante 4 horas hasta que he llegado a casa. Tampoco sé si le falta algo al paquete, ya que este no estaba abierto pero se podía sacar la manguera por el lateral, de hecho así la he sacado. La valoración del producto no la puedo hacer aun puesto que no lo he usado, y con la opinión vengo a expresar mi malestar con AMAZON y con el incompetente del repartidor.",3,lawn_and_garden
"El collar cumple con la descripción del producto y funciona perfectamente, se adapta muy bien al cuello de mi perrita, es una yorkshire de 2,5 kg y de tamaño le va bien, pero no le hace mucho efecto, sigue ladrando.",3,pet_products
"Son chulisimos como dice mi hijo, y qudan genial",5,apparel
Yo me he comprado esta camara para vigilar a la niña(recien nacida) al salir a hacer cosas la puedo vigilar y quedarme tranquilo y como se puede mover la camara mediante la app no pierdo ningun angulo si la coloco mal. ;D,5,home_improvement
"No llego embalado, solo la caja tal y como se ve en la foto. Mandar una placa base tan delicada en esas condiciones, encima del precio que tiene el producto en si, un crimen la verdad!!!!!!!!!!!! Tampoco la caja por dentro viene con proteccion de algún tipo de acolchado.Funciona bien, por ahora no me ha dado problemas.",3,pc
"No es de una calidad excepcional pero sí que es funcional para usarlo ocasionalmente, cumple su función.",4,pet_products
"Super originales, no aparenta, están muy bien",4,baby_product
Por la cantidad de reguladores que había. Gran gama cromática. La calidad buena y los resultados también.,4,office_product
Es de mejor calidad de lo que esperaba. Puesto en la pared todavía se ve mejor. La única pega es que al pulsar echa poca cantidad de jabón pero con pulsar un par de veces es suficiente en la mayoría de las ocasiones,5,home
"Super suave, te arrastra toda la suciedad y como es tan suave no te hace nada de daño.",5,toy
"Me llegó antes de la fecha, de momento me va bien , estoy contento x la compra ,calidad /precio buena",5,pc
Buena correa para reloj xiami mi band 2. Ajusta perfectamente y la calidad es buena.,5,watch
"Sencillamente no funciona. Tengo un Labrador y he lavado sus mantas. Creerme, tenían muchos pelos. No ha quedado dentro de este utensilio ni uno!!! Una verdadera mentira. Muy decepcionada!!",1,home
"Compré este disco por la gran capacidad de almacenamiento y resulta que no funcionaba (Era reacondicionado). Probé con 2 carcasas externas y el disco hacía pitidos cortos cada 3 segundos, ni siquiera empezaban los platos a girar. Devuelto a los 20 minutos de haberlo recibido (tiempo record para mi). Si le doy 2 estrellas y no una, es porque me devolvieron la totalidad del dinero y no me cobraron gastos de devolución.",2,pc
"Perfecto ideal para llevar en el bolso. O meter tarjeta. Los colores muy bonitos, lo recomiendo, llego antes de tiempo",4,luggage
Se me ha mojado un poco en un día de lluvia y se me está levantado las esquinas.,3,other
"Buena compra y facil de usar.La acabo de estrenar con unos nuggets con patatas y las patata finas salen crujientes como con aceite pero al no llevar grasa resulta menos pesada la comida.Al no llevar aceite te puede parecer el sabor distinto al principio. Hay q precalentar 3 minut la freidora y luego poner la comida. Menos mal que pedi la mas pequeña porque es bastante grande.no la esperaba tan grande.Ya llevo mes y medio con ella y estoy encantada es rápida,cómoda no manchas la cocina.Los pimientos asados se hacen rápido y buenísimos y los bizcochos salen estupendos.He comprado el pack de accesorios y es muy práctico .Me alegro de haberla comprado ahora haces comida sana en menos tiempo y manchas menos y no tienes olores en la cocina.Hay que ir probando los tiempos para adaptarlo al gusto de cada uno.",4,kitchen
"El protector se ajusta bien y la parte superior del altavoz lo cubre muy bien pero me fastidia bastante 4 burbujas que no se quitan, cada una en una esquina. Lo puse con mucho cuidado y esas cuatro burbujas me ha sido imposible quitarlas. La pantalla también me ha perdido algo de sensibilidad aunque la protección se nota que es buena.",2,wireless
Moldura de gafas muy frágil y los cristales dan dolor de cabeza,1,drugstore
"Es bonito, lo malo es que con el paso del tiempo se van deshilando un poco",3,automotive
Rapidez en el envio. Quedan perfectas en el aspirador. Recomendable el proveedor. Lo volveré a pedir cuando los necesite. Gracias,4,kitchen
Se ha roto y solo tiene un mes... ¿Que pasa?,1,sports
"producto tal.y como se anuncia,el envio estuvo en el plazo.Todo sin problemas y mas barato que en las tiendas....Perfecto todo",4,personal_care_appliances
"la navaja esta bien pero tiene un defecto y es que los tornillos de la empuñadura tienen tendencia a aflojarse,yo ya he perdido dos y encontrar otros iguales no es fácil, todavía los estoy buscando ya que no solo sujetan los embellecedores si no que también las herramientas adicionales están sujetos a ellos",3,sports
"No me ha gustado porque no lo tengo, pero se han retrasado y eso que tenían aproximadamente un año 10 días de margen",1,watch
YA TENIA UNOS TIRANTES IGUALES EN ROJO,4,apparel
envio muy rapido y sin problemas. la radial es muy manejable al ser fina y con un peso adecuado,5,home_improvement
Es un protector que deja la piel muy grasa,2,beauty
"PRODUCTO PARECE INTERESANTE A PRIMERA VISTA ENVIO MUY RAPIDO Y DESCRIPCION PRECISA DEL VENDEDOR, NINGUN PROBLEMA A PRIORI POR LO MENOS DE MOMENTO",5,electronics
Es una m***** no vale para nada cuando activas el bluetooth te bloquea hasta el teléfono,1,wireless
He usado este producto y me duró poco más de un mes puesto. Cuando lo quité me dí cuenta de que solo pegaba el borde del cristal templado. No lo recomiendo.,1,wireless
"el producto nos llego bien, lo unico que observamos que la pinza es muy endeble y puede ser que se rompa pronto. la parte que sujeta el movil sirve para moviles grandes como note 3 o mate 9 .",4,wireless
"Este dron me ha gustado porque es ideal para iniciarse en el control de drones. Es bastante resistente, le he dado varios golpes antes de cogerle el tranquillo y sigue funcionando perfectamente. Tiene protección tanto en las aspas como en la base por lo que si desciende demasiado rápido o le das con una pared no se estropea. Lo recomiendo si nunca has pilotado un dron. Además, las baterías duran algo más de lo que dicen, unos 7-8 minutos así además de que se recargan más rápido de lo que dicen. Cabe destacar que el mando funciona a pilas pero que te las incluyen, lo que es un detalle agradable.",5,toy
"El embalaje del producto era pésimo, siendo un producto que puede romperse con facilidad las pestañas que posee me parece que el embalaje es nulo, llegó perforado y el producto roto, sin encontrarse la pieza rota dentro del embalaje, por lo que da a entender que el producto perforó el embalaje y se fracturó. Me he puesto en contacto con el vendedor y no he obtenido respuesta, he vuelto a presentar una reclamación.",1,automotive
"No es nada buena, aparentemente cuan nos llegó nos pareció que estaba bastante bien, pero con nada de tiempo de uso está dando un resultado pésimo.",2,wireless
"Muy bonita,fue un regalo para mi pareja y le ha encantado",5,jewelry
"Estás bien, un poco pesado.",4,wireless
"No me han dado el resultado que pone, con lo que precio es caro",2,sports
"Perfecto, en casa está continuamente conectado porque es valido para los tres tipos de moviles que tenemos. Lo recomiendo.",4,pc
"Los sharpies me encantan, los utilizamos para todo y de todos los colores. Van muy bien si trabajas en superficies bien limpias, sin grasa o con una ligera textura, de lo contrario se borra muy rápido y hay que estar repasando, por ejemplo las fiambreras del cole.",4,office_product
"Son de buena calidad y el precio bastante razonable,los recomiendo sin duda, son para el modelo de varilla recta (no de gancho)",4,automotive
"Alumbran bien, un poco menos que las halogenas, y no tiemblan",4,home
"Tiene los acabados de la tela y las cuerdas malos.la casa y el cesto muy pequeña, no cabe el gato",1,furniture
Es muy chula aunque el color de las patas de la mesa Tower no coincide con el color de las sillas Tower. Y es perfecta para 6 sillas.,4,furniture
Comprado hace más de un año y sigue en perfecto estado.,4,furniture
"No me gusta como juego. Los críos lo pasan bien al principio, pero o son casi adultos o es prácticamente imposible que lo puedan preparar ellos. Total, que se convierte en algo para jugar de vez en cuando, porque requiere de un adulto que esté continuamente preparando el juego y ellos solos se aburren. Tiene cierta gracia lo del sensor, pero la calidad de los materiales no es buena",2,toy
con un mes ya ha pasado la grantia de amazon,1,home
"En mi caso, opel vectra c Gts 2005 no vale, no hace presión ni fuerza para sacar nada",1,wireless
No es lo que me esperaba ya que es de tipo goma flexible y buscaba algo más robusto y con más protección,2,wireless
Nunca lo he recibido me habéis devuelto el importe pero no sustituido por otro productor de la misma gana,1,home
Sencillo. No trae demasiadas explicaciones. Muy basico.,3,book
"Bascula muy precisa, la he utilizado para pesar pollitos y la verdad que muy bien. Me ha gustado. La recomiendo",5,home_improvement
Deje un comentario y me lo rechazaron. La crema venía abierta en el paquete de Amazon. Venía sin el típico plástico de seguridad. No lo volveré a comprar. Me siento estafada,1,beauty
Fue perfecta para el bebé. No paraba de moverse durmiendo y con el arrullo no se despertaba.,5,baby_product
"Me llego, y a los 4 dias ya dejo de funcionar, pero fueron muy atento y me rembolsaron el dinero muy rápido, un 10 por su seriedad.",3,pc
"Para el precio que tiene esta muy bien, eso si, si le pones mucho peso de un lado se puede caer.",4,furniture
Guapísimas un pelin pequeñas pero el coche cambia al 1000% 1000,5,home
"Cumple descripción y de momento no falla, en caso de que lo haga cambiaré el voto. Viene muy bien ese ratón extra.",5,pc
El muñeco es como me lo esperaba. Pero ha llegado con la caja arrugada y es para un regalo...,3,sports
Lo voy a devolver. No tiene ninguna marca estetica de uso pero el sensor de proximidad falla de vez en cuando sobre todo en las llamadas. La bateria viene a un 85% de capacidad lo cual es incomprensible ya que no vale tanto poner una nueva,2,wireless
"En la realidad parecen mas bastos que en el anuncio, al menos mi idea era de unos guantes elegantes para vestir y los que he recibido son un poco gruesos, sin gracia. Eso si abrigan mucho y son táctiles. Los voy a usar para hacer deporte. Las costuras están bien acabadas y el tejido se ve resistente. Permite la flexibilidad de la mano.",4,sports
Es un producto falso.,1,home
"Venia mal cosida la cremallera, y no se pudo utilizar, devuelta y pensándome si intentar comprar otra por si fue un defecto concreto",2,office_product
"Buen cristal,pero no cubre totalmente la pantalla del movil.",3,wireless
"Tiene unos gráficos preciosos, muy real, a mi hijo no es el juego que más le gusta pero merece la pena echar el ratillo.",4,video_games
"Me ha gustado mucho. Colores luminosos, fáciles de usar. Muy buena relación calidad-precio. Los recomiendo.",5,industrial_supplies
"Me ha gustado la funcionalidad, pero es demasiado endeble. Hay que tener mucho cuidado a la hora de meter la ropa dentro. Yo me he cargado uno sin estrenar.",3,luggage
"La idea del protector es buena, pero no pega suficientemente bien a la pantalla, el pegamento de los bordes es escaso, además se pierde sensibilidad y no funciona igual el desbloqueo con la huella y la navegación en general.",3,wireless
Ha llegado defectuosa no tiene apenas fuerza...me pongo en contacto con ellos y ni caso ... cada vez peor amazon...antes no era asi en fin,1,home_improvement
"La opción de compra de libros es muy cómoda, en 3 minutos desde cualquier lugar me permite realizar la compra y recibirlo al día siguiente. Simplemente espectacular!.",5,book
"Trípode bastante robusto y de buena calidad, el único inconveniente es la rótula que va bastante pillada",5,camera
Necesitaba unas patas para los somieres y estás son perfectas muy recomendables y un precio excepcional,1,furniture
Para el verano .. no recomendable.. no es nada fresco más bien da calor ...lo único bueno es que está bien acolchado ..,3,baby_product
Un clásico de toda la vida. . huele muy bien encargo de cristal se conservan mejor el olor volvería a repetir,4,beauty
"Cable de bastante calidad. Viene muy buen presentado, en una caja que deja ver que estamos antes un cable Premium. El funcionamiento es perfecto en un televisor 4K UHD con un reproductor UHD.",5,wireless
Elas mallas están muy bien. Se sienten cómodas y aunque se ajustan no aprietan. El único pero que les encuentro es la falta de un bolsillo interior,4,sports
"el articulo es espectacular el reparto todo lo contrario no me lo entregaron en mano lo echaron en el buzon y me lo quitaron y me lo tuvieron que mandar otra vez sin coste para mi gracias a dios , pero me lo volvieron a dejar en el buzon la segunda vez tube mas suerte y pude recojerlo",5,other
Buena relación calidad precio. Hace tiempo que la tengo y estoy contenta con ella,4,kitchen
Se ha descosido por los lados,2,baby_product
Pensaba que era más antideslizante. Poniendo pegado al mueble no se mueve. No es tipo alfombra el agua que cae no lo absorbe quiero decir. Hubiese preferido otro material. Aún y todo queda bien y se limpia fácil.,3,furniture
Es un tejido que no esperaba y no lleva correa bandolera.,2,pc
"No cortar por la línea q marca si no la has cagado pero bien, hay q cortar lo más al final posible para después poder cojer y abrirlas...",3,baby_product
Para ropa de bebé las perchas son muy grandes pero son agradables al tacto y las prendas no se deslizan,3,home
"Lo mejor es enigma, el juego es muy simple y aburrido para un niño de 5 años",2,toy
No cubre el 100% de la pantalla no me a gustado,2,wireless
"Compre esta funda para regalar, le gusto mucho el color y queda como un guante en su ipad air 1. Asi que ha sido una buena compra. Gracias por la rapidez de entrega llego al dia siguiente de pedirla.",4,pc
No me ha llegado todavía el artículo. Imposible valorar el producto porque no lo tengo. Opinión muy mala de momento.,1,home
Funciona muy bien con los aguacates que estén en su punto si están muy blandos o muy duros no tanto aunque si es así los tiro también es un poco difícil de limpiar al menos que lo hagas enseguida se queda aguacate entre las rejas por las partes más pequeñas y no cabe bien el estropajo pero si lo haces enseguida se limpia mejor,4,home
Producto como el anterior comprado excelente,5,home_improvement
Todo perfecto y según descripción,4,furniture
"Ideal para spray de defensa de 12 cm de altura. Tarda en llegar pero merece la pena, resiste muy bien llevarlo en el cinturón, lo aconsejo para funcionarios.",5,sports
No parecen de mala calidad pero pensé que eran algo mas grandes,4,home
"Esta bateria solo ha durado dos meses , enciendo el telefono al 100% de bateria y a los diez minutos se apaga por bateria baja.",1,wireless
"La funda es blanda, poco rigida. Especialmente cuando la coges por el asa, dificultando un poco dificil una buena sujeción. La he devuelto y me han reembolsado el dinero sin problemas.",3,wireless
"No me funciona con el Samsung watch active. Solo carga si lo conecto apagado. Si está encendido, marca que está cargando pero nunca sube el porcentaje de batería y se calienta sin cargar.",1,wireless
"De las 5 pizarras que he comprado, 3 vienen con el plástico que las cubre abierto y sin rotulador... en cuanto a la pizarra, esta bien, tal como se describe en el anuncio.",3,office_product
"Bien solamente de Nueva. En poco tiempo ha bajado la capacidad de la batería muchísimo, a un cuarto aproximadamente de la capacidad inicial.",1,pc
rompio muy facilmente poniendola,1,wireless
"Buena perforadora, aunque a mi no me sirvió para el uso que yo quería darle, cortar papel celofán. Corta el papel normal perfectamente.",4,home
No mucha calidad . Nada mas que decir ¡,3,personal_care_appliances
"Muy mal,la recibí envuelta en plástico dentro de un sobre. En vez de en su caja como pone el anuncio.",1,camera
"Ya he tenido antes otros cortadores, de los típicos, con rueda más pequeña pero no me habían acabado de convencer, al pasarlos no terminan de cortar bien y se desplaza el queso hacia los lados. Así que probé con este con la esperanza de que fuera mejor y ha sido así. La rueda es grande y corta bien sin presionar mucho y me ha gustado la facilidad para lavarlo, se desmonta de manera muy sencilla, las instrucciones están en la propia cajita en la que viene y se lava sin problemas, hasta ahora muy contento.",5,home
"Ideal para colocar botes, lo he puesto en el lavadero.",5,furniture
Muy bien me canta es para mi hijas,4,toy
"No funcionaba, pero la devolución del producto ha sido rápida y sin ninguna pega. Así que miraré otro producto similar",2,wireless
"Conecté un arcón frigorífico pero sólo mide el tiempo cuando hay consumo, (compresor en marcha), así que es imposible calcular el consumo medio ya que habrá momentos en los que el compresor esté parado. Lo he solucionado midiendo el tiempo real con un reloj. Lo positivo es que el tiempo registrado en el aparato da una idea de las horas que realmente trabaja el arcón. No le doy las 5 estrellas por lo escueto del folleto de instrucciones, y por no incorporar una tecla de puesta a cero para iniciar una nueva medida, (hay que usar el botón de RESET y configurar de nuevo el precio del kWh).",4,home_improvement
